LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Wodonga (C),49,51,36,20.6,13.7,13.7,12.3,12.8,12,8.6,4.4,1.9,46.5,13.2,9.7,83,31.1,24.7,87.9,57.9,30.9,16.3,12.6,16.6,674,1550,0.8,79.5,38.9,41
Wyndham (C),50.1,49.9,32,24.8,12.1,18.8,16.8,11.7,8.2,4.9,2.1,0.7,55.5,24.4,10,52.8,22.7,24,53.1,60.2,26.8,18.5,15.3,12.7,685,1714,15.3,73.1,27.1,56.5
Yarra Ranges (S),49.4,50.6,40,19,12.5,12,13.2,14.5,13.2,9.6,4.2,1.7,50.2,17.1,10.6,77.9,42.4,18.1,88,56.5,33.6,17.8,13.5,18.6,667,1770,6.4,75.8,36.1,47.6
Yarra (C),48.5,51.5,33,11.1,11.2,30.6,16.2,11.4,8.9,6.1,3.2,1.2,28.3,48.2,7.7,61.2,48.7,16.3,68.8,66,24.8,42.9,10.9,6.9,1039,2509,28.9,36.2,52.9,30.4
Yarriambiack (S),50.5,49.5,50,15.8,9.7,8.5,8.3,14,16.3,13.8,8.5,5,52.2,8.3,7.4,84.9,25.8,16.4,89.3,55.3,33,12.8,8.3,10.5,491,1179,0.8,62.4,50.8,34
Albany (C),49.3,50.7,43,18.5,11.4,10.5,11.4,13.5,13.9,11.3,6.4,2.9,49.8,13,8.8,74.4,37.9,12.8,87,52.7,36,16,11.1,16,611,1508,1,76.1,45.3,38.4
Armadale (C),49.7,50.3,33,22.2,12.5,17.3,14.2,12.2,10.2,7,3.2,1.2,49.3,16,9.1,58.7,33,17.1,75.1,57.5,28.2,15.8,14.3,17.6,698,1719,8.1,75.8,34,47.3
Ashburton (S),72.4,27.6,36,13.3,6.2,26.5,23.5,18.5,10.4,1.5,0.3,0.1,47.6,11,6.7,56.4,33.7,20.7,72.3,80.6,9.1,10.2,5.5,34.1,2381,2889,49.1,25.2,33.1,56
Augusta-Margaret River (S),50,50,39,21.7,7.9,12.3,16.4,13.7,13.5,8.8,4,1.6,49.6,20,9.6,69.6,48,13.5,85.3,48.4,39.3,15.9,9.1,17.2,671,1524,2,64,42.2,43.2
Bassendean (T),49.2,50.8,39,17.9,10.8,14.9,14.9,13.8,11.8,8.5,5.1,2.2,44.1,22,9.2,65,35.3,24.5,79.3,57.6,29.5,23.5,15.4,15.5,731,1904,13,68.7,38.4,41.9
Bayswater (C),49.8,50.2,37,15.7,11.4,18.5,14.9,12.6,11.2,8.3,4.9,2.3,45.7,25.7,9.5,54.2,30.4,27.7,65.5,58.1,29.6,24,14,15.1,732,1874,13.4,69.4,41.7,41.5
Belmont (C),51,49,34,16.1,12.8,21.6,14.6,11.5,10,6.8,4.6,2.1,41.1,21.1,8.7,49.1,28.1,23.4,60.3,59.3,27,19,14,17,722,1725,11.4,72,41.7,38.6
Beverley (S),51,49,53,15.7,5.7,8,9.9,14.2,18.8,16.8,8.4,2.4,54.8,9,7,69.6,28.4,14.1,84.5,55.3,33.3,9.9,10.3,15.8,532,1264,2.2,53.7,56.7,32
Boddington (S),53.1,46.9,39,21.7,7.8,12.7,15.1,16.5,13.1,8.4,4,0.8,52.5,11.4,7.7,74.3,39.8,14.7,87.1,61.4,23.2,11.5,10.1,19.9,809,2097,3.9,67.2,40.7,45.6
Boyup Brook (S),50.2,49.8,49,18.7,5.8,7.1,12.4,15.5,16.6,15,6.8,2.1,56.8,10.4,7.4,78.3,30.3,18.6,89.7,55,31.8,9.6,8,10.9,600,1363,1.7,49.3,53.7,36.4
Bridgetown-Greenbushes (S),48.6,51.4,49,17.5,8.3,6.5,11,14.9,17.8,15.8,6.3,1.9,54.2,12.4,8.5,69,37.5,14.5,89.3,50.3,37.2,14.1,9.2,17.6,518,1284,1.5,66.9,54.8,33.4
Brookton (S),50.5,49.5,48,16.7,8.5,8.7,10,15.9,12.7,15.3,8.4,3.9,52.5,8.1,6,77.9,26.8,12.4,84.9,54,30.5,8.8,7.7,8.2,661,1468,0.8,50.5,50.2,36.5
Broome (S),50.1,49.9,33,23.9,10.7,17.7,16,13.6,11.3,4.7,1.4,0.3,36.3,17,8.2,72.7,35.8,27.5,76,62.5,24.5,20.6,13.7,14.8,898,2076,1.2,66.7,36.1,42.3
Derby-West Kimberley (S),50.5,49.5,30,25.7,14.3,17.9,13.7,12.3,10.2,4.3,1.4,0.5,32.4,10,4.1,83.8,22.8,16.5,48.5,61.7,16.8,21.4,10.8,11.4,433,1077,1.9,59.3,28.8,39.5
Broomehill-Tambellup (S),50.7,49.3,39,23.8,8.5,12.3,11.8,13.9,15.1,8.4,5.3,1,55.1,9.8,5.5,77.3,27.3,14.6,85.1,60.2,25.4,8,11.4,11,643,1404,0.6,51.8,43.1,40.1
Bruce Rock (S),51.8,48.2,47,19.4,6.4,10.5,11.1,12,16.3,15,7.2,2.1,57.8,11,6.7,80,28,19.6,88.6,65.1,27.5,10.6,7,11.8,687,1583,1.5,53.5,51.8,38.1
Bunbury (C),49,51,41,17.3,11.3,13.2,12.6,13.5,13.6,10.2,5.7,2.7,44.9,13.3,7.6,71.2,33,21.4,82.5,53.6,31.9,16.7,11.5,17.8,632,1502,2.3,77.4,44.1,35.2
Busselton (C),48.8,51.2,42,20.3,9.8,10.3,13.5,13.5,12.9,11.6,5.8,2.3,54,14.4,9,74.3,36.3,16.8,88.3,50.6,37.2,15,10.9,18.4,653,1581,2,71,43.8,41.8
Cambridge (T),49,51,40,21.1,12,10.6,13.5,15.1,11.8,7.4,5.4,3.1,55,46.9,9.5,65.6,34.3,25.5,81.1,55.5,35.2,41.9,11.5,6.7,1034,3306,10.6,64.2,34.9,54.4
Canning (C),50.2,49.8,34,17.5,16.1,16.5,13.5,12.5,10.7,7.6,3.9,1.7,50.9,29.3,9.6,44.7,28,19.8,55.6,52.1,33.2,24.1,13.3,14,615,1788,12,72.8,34.5,49.7
Capel (S),49,51,36,24.2,12.9,11,14.5,15.5,11.1,7.6,2.6,0.6,54.3,15.2,8.8,71.8,36,18.7,86.4,55.8,32,18,11.8,18.4,716,1937,2.7,76.6,35.3,49.2
Carnamah (S),53.1,46.9,46,19.3,8,11.2,11.1,15,18,10.9,5.5,0.9,45.4,8.4,6.5,75,30.6,17.8,88.3,73.1,18.3,11.8,11,16.1,698,1489,1.2,56.5,57.2,35.5
Carnarvon (S),52.2,47.8,39,20.3,10.2,13.7,13,15.3,13.6,8.8,3.8,1.2,40.8,9.7,5.5,65.8,31.4,24.7,72,63.1,21.9,12.5,12.7,13.4,693,1604,3,58.4,40.6,39.5
Chapman Valley (S),50.3,49.7,43,22.9,8.1,7.5,14,18.1,13.9,10.3,4.2,0.9,63.2,11.8,6.9,73.6,28.1,22.6,84.8,59.6,28.4,13.7,14.7,16.1,732,1932,1.5,64.5,44.1,48.6
Chittering (S),50.8,49.2,43,19.3,11.5,8.6,13.3,17.2,14.6,10.2,4.5,0.7,59.3,8.4,8.4,67.2,33.9,18.7,88.2,57.9,29.4,10,13.5,19.6,641,1856,3.6,66.9,46.6,45.8
Claremont (T),48.5,51.5,43,15.9,14.7,11.3,10.3,13.1,11.8,10.7,7.5,4.6,47,46.1,8.8,62.9,33.4,18.8,80.3,54.8,36.2,42.6,10.2,5.4,960,2989,13.5,61.5,41.8,43.3
Cockburn (C),49.4,50.6,35,20.1,12.5,16.1,15.7,13.7,10.4,6.7,3.6,1.4,50.1,20.1,9.2,59.2,32.2,29.3,72.4,57.9,29.5,20.3,14.5,17.7,761,2038,9.7,74.5,35,48.9
Collie (S),50.4,49.6,41,19,12.2,11.2,11.1,13.7,15.1,11.3,4.7,1.7,47.1,5.1,5,79,35.2,21.1,88.5,51.8,30.1,8.5,9.7,23.5,512,1488,3.8,71.3,42.2,40.3
Coolgardie (S),53.5,46.5,33,23.2,12,16.5,13.4,15.3,11.6,5.9,1.9,0.2,41,6.1,5.2,67.1,36.3,16.5,81,64.8,18.5,8.8,8.7,22.9,757,2094,9.1,71,36.2,45.6
Coorow (S),55,45,52,14.4,5,9.1,9.7,15.1,22.7,17.2,5.5,1.2,56,6.8,7.4,81.6,33.9,16.2,91.4,61.1,25.2,6.9,11.3,11.1,549,1239,0.7,48.5,64.5,24.7
Corrigin (S),52.4,47.6,44,20.5,9,10,11.3,12.2,15.6,11.3,7.5,2.6,54.6,9.5,4.9,79.5,28.6,15,87.2,63.7,25.5,10.2,9.4,12,748,1672,0.7,57.6,54.5,32.5
Cottesloe (T),49.2,50.8,42,17.7,11.4,12.5,11,15,14.2,10.6,4.7,3,50.4,50.8,9.1,68.4,36.3,19.4,86.6,57.4,33.7,45.8,8.8,5.1,1218,3659,12.5,63.9,41.7,46.2
Cranbrook (S),51.6,48.4,46,18.1,6,10.3,13.7,13.2,17.9,13.2,6.4,1.1,59.7,8.4,6.3,73.4,30,13.6,88,64.4,25.1,5.5,7,8,612,1281,0.6,51.8,53,39
Cuballing (S),53.5,46.5,47,18.1,7,10.2,11.5,15.1,16.2,14.7,5.6,1.7,60.7,8.4,7,73.4,30,12.9,84.9,63.7,24.4,10.5,8.8,15.4,604,1421,1.3,60.5,57.9,35.7
Cue (S),56.9,43.1,52,15.8,6.3,14.6,8.4,8.9,25.6,15.7,4.7,0,33.7,9.8,6.1,60.8,29.6,15.9,71.4,57.4,25,16.4,8.2,9.8,534,949,NA,56.7,64.7,20.6
Cunderdin (S),55.3,44.7,37,19.3,16.3,11.4,12.6,11.3,13.6,8.6,5.3,1.6,51.2,7.3,4.7,74,29.2,17.3,82.9,61.2,26.4,10.8,10,14.1,633,1648,1,62.3,45.9,42.2
Dalwallinu (S),54.7,45.3,38,20.4,9.2,15.1,14.5,12.3,14.2,7.4,4.8,2.1,58.4,9.8,6.5,72.6,28.1,15.9,80,68.7,22.6,7.4,10.4,14.4,803,1767,0.6,61.4,43.6,47.6
Dandaragan (S),52.8,47.2,48,15.3,7.3,11.3,11.5,14.3,17.2,14.9,6.7,1.4,54.8,9.3,7,75.9,36,15.3,87.4,58.3,30.2,8.7,10.7,14.6,636,1445,2.3,58,55.6,32.8
Dardanup (S),49.4,50.6,37,21.6,12.1,13,12.7,13.4,11.8,8.3,5,1.9,52.6,9.7,7.5,76.5,34.9,20.7,88.6,54.7,32.2,11.9,11.7,20.5,670,1749,2.8,75.8,40.4,44.5
Harvey (S),50,50,38,22.2,11.5,11.8,13.3,14.1,12.5,9.1,4.1,1.1,55,10.8,7.8,72.9,33.2,22.8,85.9,54.9,31.1,12.8,11.6,19.6,662,1797,2.9,75.9,39.9,46.6
Denmark (S),49.6,50.4,49,17.2,8.8,6.6,10.8,14.9,16.7,16,7,2,50.8,20,10,66.9,47.3,9.6,86.9,43.5,43.8,19.7,10.3,15.2,544,1268,0.9,62.2,51.1,35.1
Donnybrook-Balingup (S),49.4,50.6,47,18,8.8,8.9,11.5,14.5,17.7,13.5,5.6,1.8,55.2,12.3,8.5,72.2,34.2,18.7,86.8,53.4,32.9,13,10,16,563,1425,1.8,65,51.8,36.9
Dowerin (S),50.2,49.8,43,23.2,7.5,10.4,11.6,12.4,14.2,12.9,6.2,1.6,58.1,9.1,7.1,85.2,33.1,11.4,90.8,62.4,29,8.5,7.8,10.1,641,1455,1.3,49.8,46.8,42
Dumbleyung (S),51.9,48.1,42,19.2,5.8,14.2,13.2,12.5,18,9.7,6.5,1,60.1,13.1,5,77.9,33.3,18.1,87.3,67.9,22.7,10.1,7.3,7.6,662,1309,NA,46,51.1,41.5
Dundas (S),54.7,45.3,47,14.1,7.2,14.9,9.3,19.9,18,12.6,3.1,0.8,34.3,5.9,4,61.6,34.2,20.5,79.1,66.3,18.3,8.4,8.1,20.3,612,1235,4.8,54.1,49,26.1
Esperance (S),50.3,49.7,40,20.6,12.1,11.5,12.3,14.7,12.5,9.5,4.9,1.8,48.4,9.6,6.5,75.3,33.1,16,85.6,57.6,30.9,13,11.5,15.3,682,1709,1.1,70,42.2,42.8
East Fremantle (T),48,52,43,18.3,11.5,9.7,13.1,16.9,14.4,8.8,5.3,2.3,49.9,39.1,10.5,69.8,38,26.8,85.3,55,34.8,36.3,11.5,9.5,938,2780,8.3,68.5,38.5,48.4
East Pilbara (S),66.7,33.3,34,15.2,9.5,27.7,20.7,15.9,9,1.9,0.2,0,41.2,8.9,5.3,61,32.6,17.6,62.6,77.6,10,11,5.3,28.5,1814,2536,25.3,40.2,31.8,53.9
Exmouth (S),52.4,47.6,37,20.7,9.1,15.3,16.7,14.6,12,9,2.3,0.4,47,14.8,8.5,73.8,45.4,16.1,86.3,58,29.5,14.5,11.3,20,816,2011,1.9,59.3,45.6,43
Fremantle (C),48.3,51.7,42,14.2,9.9,15.8,13.9,14.6,13.5,9.7,5.8,2.5,39.1,33.5,8.8,60.8,42.4,23.1,76.8,54,33.4,35.3,10.4,11.5,778,2173,12.6,62.2,44.3,37.8
Greater Geraldton (C),49.6,50.4,38,20.9,12.6,12.2,12.8,14.6,12.3,8.4,4.7,1.7,46.1,10.5,7.2,76.5,29.8,26.8,83.9,55.6,29.5,16.1,12.4,17,662,1674,1.8,75.9,40.2,40.4
Gingin (S),51.8,48.2,47,16.9,8.5,9.6,10.9,14.1,16.8,15.4,6.4,1.3,53.5,8.1,6.3,65,32.8,17.7,83,54.6,31.3,7.1,9.9,15.6,567,1329,3.2,61.8,53.6,35
Gnowangerup (S),54,46,40,20.2,8.9,14.5,12.3,14.8,17.1,8.5,3.1,0.7,55.7,9.2,7,74.7,28.9,12.3,84.9,66.1,24.8,7.6,10.1,13,759,1676,2.3,57.4,44.6,42.2
Goomalling (S),49.9,50.1,45,20.3,7.4,10.3,11.3,14.2,15.3,11.6,6.8,2.6,49.6,10.1,5.8,79,27.4,27.2,88.7,56.1,33.3,8.9,11.9,11.9,668,1625,NA,58,48.5,38.8
Gosnells (C),50.8,49.2,34,20.9,13.5,16.2,14.9,12.6,10.1,7,3.5,1.2,51.3,17.3,8.4,51.2,27.4,19.5,62.2,56.2,29.2,15.4,14,17.6,636,1656,9.6,76,32.1,50.1
Halls Creek (S),49,51,28,26.6,16.6,18.4,13.6,10.5,9.1,3.9,1,0.2,31.5,8,2.9,82.6,14.4,27,44.9,57.5,16.3,24.3,7.5,10.6,359,809,3.3,38.9,25,37.4
Wyndham-East Kimberley (S),49.4,50.6,33,23,12.9,17.3,14.3,14.6,11.6,4.8,1.3,0.3,32.9,14.1,6.7,74.1,35.7,24,76.2,68.1,18.4,18.9,12.8,14.5,864,1950,2.1,64,38.2,38.6
Irwin (S),50.4,49.6,49,17,8.4,7.9,10.8,13.7,16.6,16,7.2,2.4,53.7,7.1,7.2,78.3,32.8,19.4,91.5,50.2,34.6,11.2,12.5,19.5,547,1351,2.2,65,53.8,34.4
Jerramungup (S),55.4,44.6,41,20.3,6.4,14.6,11.4,15.6,17.2,9.3,4.3,0.8,51,11.1,6.6,74.5,39.3,14.5,83.9,69,25,7,7.2,12.7,794,1637,0.5,56.2,48.7,40.7
Joondalup (C),49.6,50.4,40,19.2,13.3,11.2,13.5,15.2,13.5,9,3.6,1.6,55.4,23.5,11,58,32.9,23.3,85.3,54.8,33.6,23.5,15,15.9,776,2230,10.5,71.6,36.3,50.5
Kalamunda (S),49.5,50.5,39,19.4,12.6,12.3,13.3,13.9,12.1,9.6,5.1,1.6,52.2,17,9.5,64.9,32.8,22,82.6,57.9,30.1,17.1,15.7,17.7,732,1932,5.7,76,38.8,45.9
Kalgoorlie/Boulder (C),52.1,47.9,33,23,12.8,17.8,15,14,10.5,4.5,1.8,0.5,43.8,12.1,6.3,65.8,33.4,22,78.6,67.2,21.3,14.3,10.7,21.2,974,2377,4.2,78.5,34.8,49.8
Katanning (S),51.1,48.9,40,20.3,11.3,12.2,12.3,13.7,13.2,9.2,5.7,2.3,51.1,8.4,4.5,65.8,25.6,12.8,67.8,61.5,26.3,12.3,9.3,14.2,667,1400,1.7,75.9,43.9,38.7
Kellerberrin (S),50.2,49.8,48,17.8,8.7,9.8,9.9,15.8,13.5,12.2,8.6,3.7,51.3,7.3,5.4,79,29.2,16.3,87.3,56.6,33.1,8.9,6.7,15.2,526,1292,2.5,55.2,47.9,35.4
Kent (S),56.3,43.7,39,22.3,6.1,11.4,17.2,16.4,11.8,10.6,3.5,0.5,68.6,12.3,6,78.6,30.3,13.7,85.3,67.8,25.7,7.5,8.1,5.4,856,1589,1,41.3,40.8,53.5
Kojonup (S),50.6,49.4,44,21.2,6.8,11.6,10.4,15.9,14,10.6,6.3,3.1,56.1,12.8,6.7,76.6,28.7,16.3,86.7,62,28.1,10.5,8.3,10.4,720,1568,0.7,56,49.1,39.2
Kondinin (S),54.9,45.1,43,18.9,5.7,12.9,14,15.2,16,10.5,5.4,1.4,57.3,11.1,6.3,78.4,28.6,16.6,88.2,71.1,21.6,5.2,8.7,11.9,784,1570,1.2,53,48,39.9
Koorda (S),52.3,47.7,47,21.4,5.9,9.9,12.1,11.9,19.7,11.9,5.6,1.7,55,7.8,3.7,81.8,32.5,22.1,94.3,65.3,25.4,4.4,12.6,13.1,640,1458,1.6,55.9,48.3,40
Kulin (S),52.7,47.3,44,20.1,6.6,10.3,14.4,16.6,13.5,10.5,5.5,2.6,58.9,12.6,7.2,83.9,28.7,18.7,90.7,68.4,21.2,9.2,7.7,6.7,746,1607,0.7,47.6,53.4,40.2
Kwinana (C),51.3,48.7,32,22.3,13.3,19.5,15.3,11.9,8.5,5.5,2.8,0.8,45.9,14.3,7.7,58,33.7,19.1,71.4,57.4,26.5,14.2,13,18.5,684,1669,13.6,71.4,33.4,46.4
Lake Grace (S),52.5,47.5,40,22.4,6.5,13,13.8,14.8,15.4,9,4.3,0.9,57.4,12.2,6,79.3,28.3,19.2,86.4,68.1,22.9,7.6,8.5,13.4,899,1944,1.6,51.1,46.8,44.8
Laverton (S),68.2,31.8,36,12.6,9,26.5,14.6,18.2,13.5,3.6,2,0.3,34.7,8.2,5,63.6,27.5,13.9,64.5,74.8,9.5,11.1,5.3,25.6,1597,888,24.2,43.5,41.9,31.5
Leonora (S),62.7,37.3,35,16.3,8.4,25.3,17.5,16.4,10.4,4.4,0.9,0.4,38,9.1,5.4,59.6,34.3,14,70.2,77.1,12.3,12.2,6.8,21.1,1443,2048,20.7,45.9,37.9,42.2
Mandurah (C),48.5,51.5,43,18,11.4,10.9,11.5,12.9,12.7,12.5,7.5,2.6,50.4,10.7,8.6,65.5,32.9,18.5,86.8,51.6,31.4,14,11.5,19.7,555,1435,7.5,71,45.7,37.2
Manjimup (S),50.4,49.6,45,18.7,10.7,9.1,10.9,15.2,15.5,11.5,6.2,2.2,50.7,9.7,6.3,74.6,36.7,20.5,86.1,54.8,32.3,11.5,10.7,13.4,594,1394,1.2,68.4,48,36.7
Meekatharra (S),59.3,40.7,35,16.9,9.8,21.4,15.9,14.1,12.8,6.9,1.1,0.9,32.7,10.7,6.2,63.6,32.7,15.3,72.3,70.3,13.2,18.2,7.5,15.2,992,1399,8.8,43.8,39.3,29.3
Melville (C),48.2,51.8,41,17.1,13.4,11.5,12.5,13.8,13,9.6,5.7,3.3,52.9,33.3,10.3,60.8,31.3,25.4,75.3,54.4,34.6,31.2,14.1,10.8,757,2281,10.3,70.4,37.8,47.6
Menzies (S),63.7,36.3,38,11.1,14,20.4,15.9,17.1,13.9,6.7,1,0,39.4,7.8,3.1,74.1,26.9,14.3,49.2,73.8,7.4,14.7,9,26.1,776,928,25.9,25.5,30.8,43.1
Merredin (S),52.6,47.4,38,19.6,15.1,11.9,11.2,13.2,13.3,9.3,4.3,2,47.7,9.3,5.7,76.3,35.2,20.4,85.6,61.5,26.1,12.5,11.3,16,661,1708,1.7,68,46.2,38.1
Mingenew (S),56.4,43.6,42,19.5,8.5,13.9,11.9,12.9,18.8,8.3,4.7,1.6,51.7,9.5,5,81.6,31,22.3,90.6,63.6,26.8,5.7,6.6,10.9,732,1416,2.6,55.4,49.6,40.5
Moora (S),51.8,48.2,41,21.3,10.8,10,13.2,14.7,13,9.9,5.1,2,49.9,9.5,5.7,77.4,27.5,23.5,87.4,62.8,26.6,9.4,11.2,13.9,707,1760,1.1,64.8,42.1,43.3
Morawa (S),53.3,46.7,38,20.6,15.3,11.2,10.8,11.8,15.5,6.2,6,2.4,44.1,10.8,5.3,82,29.9,23.1,88.9,59.9,25.3,13.6,6.3,9.3,560,1357,NA,56.7,41.9,40.7
Mosman Park (T),46.4,53.6,40,17.3,12.9,13.5,12,14.8,11.7,10.6,5.1,2.1,47.7,42.4,8.6,59.7,34,19.9,78.7,53.3,36.3,37.6,11.2,7.4,894,2887,13.5,64.8,40,45.9
Mount Magnet (S),54.8,45.2,42,18.6,9.7,12.7,12.8,15.5,16.1,12.5,1.4,0.6,33.3,8.2,3.5,64.8,31.9,16.8,72.5,61.4,22.2,15,10.7,16.4,526,1399,2,58.9,48.4,34.1
Mount Marshall (S),54.1,45.9,42,22.2,4.7,14.2,15.4,17.3,11.4,10.4,3.4,1.1,57.2,9.2,5.5,80.9,28.8,18.2,91.7,69.1,21.5,7.1,4.5,8.6,684,1451,1.1,47.6,45,47.9
Mukinbudin (S),53.2,46.8,43,21.1,5.1,14.5,12.2,11.2,15.7,10.4,7.4,2.4,65.5,10.4,5,80.6,24.1,14,91.4,68.9,23.4,8,7,10.5,647,1601,1.1,44.6,53.2,38.6
Mundaring (S),52.2,47.8,42,17.4,12.2,11,12.9,16,13.9,10.6,4.5,1.6,52.2,16.8,9.5,70.2,36.1,17.2,84,55.2,32.5,19.8,13.9,17.4,692,1957,6.1,74.1,40.8,45
Murchison (S),55.8,44.2,37,18.7,15.3,14.6,9.8,22.9,16.7,2.1,0,0,45.2,8.4,3.4,64.8,22.9,22.9,62.3,71.2,8.5,8.9,6.7,6.7,562,1775,NA,35.1,32.1,42.9
Murray (S),50.1,49.9,44,18.8,11,9.7,11.5,13.7,13.8,12.9,6.8,1.8,51.9,7.3,6.7,73.1,33.5,18.1,89.3,51.9,32.1,10.6,10.1,20.2,543,1460,4.4,68.4,46.6,37.9
Nannup (S),51.7,48.3,53,15.6,6,6.9,9.1,16.1,20.5,18.9,5.7,1.4,49.6,12.9,9.2,69.1,41.6,11.8,88.9,49.3,36.9,11.4,6,13.6,515,1189,0.7,52.9,58.4,28.2
Narembeen (S),50.6,49.4,46,16.9,7.4,14.8,7.9,13.5,17,12.6,6.9,3.1,59.4,9.4,4.8,78.6,29.1,19.7,88.4,68.2,22.3,7.8,8.5,11.2,763,1625,1,48.3,55.5,35.8
Narrogin (S),48.8,51.2,40,20.8,12.8,10.9,10.8,12.6,13.9,10,5.5,2.6,47.8,11,6.9,73.3,28.9,19.6,83.9,58.5,28.4,16.7,10.3,16.3,635,1527,1.4,72.1,40.9,39.2
Nedlands (C),49.4,50.6,41,19.8,14.5,8.5,11.5,14.6,13.1,10.3,5.1,2.7,56.3,51.7,7.9,63.8,32.1,21.3,80.5,53.1,37.7,45.5,11.2,4.5,987,3559,9.5,64.9,34,54.3
Ngaanyatjarraku (S),48.8,51.2,29,24.7,17.8,18.7,14.1,11.1,8.1,4,1.4,0.2,53.8,5.3,1.7,89.8,7.2,NA,9.9,38.2,24.6,26.4,6.7,3.5,307,705,NA,32.5,24.2,44.4
Northam (S),51.5,48.5,42,18.9,10.9,12,12.4,13.2,15.1,11,5,1.8,46,7.9,6.3,69.9,29.2,20.3,81.8,56.5,28.9,12.7,13.2,16.5,581,1468,1.8,72.1,43.9,37.1
Northampton (S),52.2,47.8,51,15.2,7.8,7.6,10.4,15.3,19.8,15.7,6.2,1.9,52.3,7.3,6.6,76.3,32,20.3,87.9,51.3,32.9,10.7,8.1,10.7,530,1296,2.6,52.8,56.8,32.2
Nungarin (S),52.8,47.2,44,18.4,12.7,7.3,10.4,13.5,20,8.8,5.7,3.1,48.5,7.4,7.9,80.2,38,18,89.1,65.5,27.4,8.9,12.5,10.7,615,1333,2.6,63.2,50.8,41.3
Peppermint Grove (S),42.3,57.7,39,19.3,19.8,7.9,7.5,14.4,13.7,9.3,5.8,2.5,53.1,45.1,7.8,67.8,30.2,21,84.5,51.3,41.8,41.3,9.8,4.8,1061,4146,8.8,62.6,35.8,51.9
Perenjori (S),64.4,35.6,42,14.5,6.7,19.8,13.8,18.4,16.8,7.1,1.7,1.3,51,7.6,5.3,75.8,36.8,15.1,86.8,74.1,17.6,6.7,5.3,17.1,1188,1699,13.6,47,49.1,42.9
Perth (C),52.6,47.4,32,5.2,17.1,35.6,14.1,9.5,8.8,6.3,2.7,0.7,33.3,39.3,8.9,29.8,34.2,17.3,46.9,62.1,23.4,34.6,11.6,9.9,928,2291,25.9,36.7,70,19.3
Vincent (C),49.9,50.1,34,14.1,11,25.6,16.2,12.6,9.7,5.6,3.2,2,37,40.8,9,56.8,40,23.6,69.9,61.5,28,38.1,11.5,10.4,992,2553,15.3,56.3,48,38.8
Pingelly (S),50.7,49.3,50,16.9,8,8.4,8.3,13.7,19,15.1,8.6,2.1,52.1,5.4,7.1,76.1,28,14.3,87.8,53.3,30.1,7.5,10.2,11.4,484,1112,0.9,55.3,53.3,29.7
Plantagenet (S),51.4,48.6,46,17.5,9.8,8,11.9,15.8,16,13.1,5.9,1.9,51.6,9.9,8.1,71.6,36.9,10.1,84.6,51.6,34.5,10.4,10.7,12.6,534,1275,0.8,62.7,49.7,35.3
Port Hedland (T),53.4,46.6,31,23.7,10.9,22.6,16.7,14.1,8.5,2.5,0.8,0.2,44.4,12,7.7,63.1,33.6,20.7,70.4,70.2,16.9,13,11.3,25.3,1355,3014,2.1,76.4,37.3,49.2
Quairading (S),49.4,50.6,52,16.5,6.6,9.6,7.8,14.9,19.5,13.6,8.8,2.7,52.5,8,5.7,76.4,26.8,18.5,85.7,54.4,29.1,9.5,7.5,10,545,1154,1.3,55.8,53.7,27.8
Ravensthorpe (S),54.4,45.6,45,17.8,5.8,12.6,13.2,14,15.5,14.9,5.3,0.9,55.7,9.7,8.1,70.9,32.3,14.2,84.4,63.4,22.8,7.3,8.7,16.2,676,1507,10.2,50.1,54.4,36.2
Rockingham (C),49.6,50.4,34,22.3,13.4,14.6,13.8,13.8,10,7,3.9,1.4,48.6,10.6,8.9,60.6,37,17.7,85.2,56.9,27.9,13.4,12.5,20.5,682,1812,9.2,72.1,35.3,47.5
Karratha (C),55.6,44.4,31,24.8,11.3,21.3,18.5,14.1,7.6,2,0.4,0.1,47.1,13.8,7.8,66.6,35.1,21.1,74.5,69.4,17.9,14.2,11.8,24.5,1350,2951,8.1,70.3,32.6,54.9
Serpentine-Jarrahdale (S),50.7,49.3,32,23.9,13,16.7,13.9,13.7,9.8,6,2.4,0.7,52.8,11.2,8.8,68.4,36.7,15.8,83.7,60,27.9,12,14.3,21,773,1951,5.2,74.8,36.1,51.1
Shark Bay (S),54.1,45.9,43,17.3,5.7,13.5,14.5,13.1,15.7,15,4,1.5,46.7,11.4,6.5,72.5,38.4,20.5,84.5,60.1,28.1,11.4,9.7,16.9,648,1399,1,50,56.6,35
South Perth (C),48.9,51.1,37,14.5,15,17,12.9,12.5,12.3,8.7,4.3,2.7,44.7,38,9.2,57,32.2,22.8,71.3,57.2,31.3,35.1,13.1,9.6,840,2385,12.8,66.7,43.9,40.3
Stirling (C),48.8,51.2,36,16.9,11.5,18.8,14.4,12.5,10.6,7.9,5.1,2.3,46.4,28.9,9.8,55.4,28.7,25.7,66.3,57,31.3,26.7,13.4,13.5,766,2001,10.8,72.3,40.7,42.8
