LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Snowy Valleys (A),50.6,49.4,45,18.1,10,10.1,11.4,13.5,15,12.3,6.8,3,49.9,9.7,7,81.4,18.8,26.2,86.9,58.3,29.8,12.2,9.7,13.9,577,1418,0.4,72.5,47,36.6
Tweed (A),48.3,51.7,47,16.8,9.8,9,11.2,13,14.9,13.2,8.3,3.9,46.5,13.4,8.8,77.2,29.6,22.3,88.7,49.4,38.2,17.3,12.2,15.7,539,1332,1.5,74,44.3,36
Upper Hunter Shire (A),49.4,50.6,41,20.7,10.3,11.9,12.4,13.1,13.1,10.1,5.9,2.5,50.2,10.4,7,82,16.7,25.9,88.3,60,29.8,12.2,9.4,16.8,630,1589,0.5,70.7,43.2,41.5
Uralla (A),48.4,51.6,46,19.2,10,7.9,11.3,14.7,16.3,13,5.5,1.9,53.2,16.4,8.8,85.3,23.9,20.5,92,55.9,33.7,16.1,12.5,14.2,552,1342,0.5,70.4,45.9,38.5
Wagga Wagga (C),48.9,51.1,35,20.3,15,13.8,12.1,12.1,11.6,8.2,4.8,2.2,46.6,16.7,7.7,84.1,22.2,30.6,87.8,60.7,28.9,19.7,12.3,15.6,696,1682,0.6,77.8,38.6,42.1
Walcha (A),50.2,49.8,48,17.2,9.5,9.1,10.1,13.5,14.9,15.2,7.6,3.1,55.9,11.1,7.5,82.5,18,19.4,87.6,60.5,30.8,11,9.1,10.4,577,1329,0.8,55.9,49.3,38
Walgett (A),52.9,47.1,43,20.2,9.4,11.9,11,13.3,15.1,12.1,5.8,1.3,35,8.8,6.2,77.4,23.6,23.2,82.8,56.4,26.6,13.8,9.4,8.7,464,1039,0.7,62,40.5,30.3
Warren (A),50,50,43,21.2,9.2,10.7,10.7,13.4,13.9,12,6.6,2.2,50.7,10.6,6.6,83.7,11.6,35.3,88.3,65,22.1,12.1,9.5,11.2,649,1468,0.3,63.4,45.9,37
Warrumbungle Shire (A),50,50,49,18,9.4,8,9.6,13.4,15.6,14.4,8.5,3.2,49.4,9.3,5.9,81.7,20.6,21.8,87.3,55.7,30.6,14.1,8.4,10.2,479,1103,0.7,60,49.4,32.7
Waverley (A),48.6,51.4,35,16,9.2,23.6,17.8,12.2,8.5,6.5,3.9,2.3,38.2,44.5,9.3,50.3,33.4,19.9,68.8,65.9,26.2,38.9,10.4,7.3,1151,2917,33.8,42.3,43.5,43.4
